as_of_date,ticker,net_flow_usd,aum_usd,source
2025-10-07,IBIT,118882872.64,2784123793.77,MOCK
2025-10-07,FBTC,45090522.63,3542978971.26,MOCK
2025-10-07,GBTC,100277307.72,4278340262.01,MOCK
2025-10-07,BITB,88279676.46,3087137091.83,MOCK
2025-10-07,ARKB,1967822.41,2948404414.57,MOCK
2025-10-08,IBIT,64383851.54,4289215861.29,MOCK
2025-10-08,FBTC,87731395.75,3874600120.38,MOCK
2025-10-08,GBTC,148127911.42,1010893715.99,MOCK
2025-10-08,BITB,119286070.94,3742826879.81,MOCK
2025-10-08,ARKB,129985893.81,1695441450.67,MOCK
2025-10-09,IBIT,-41254197.7,645253119.36,MOCK
2025-10-09,FBTC,80399751.47,1967815514.46,MOCK
2025-10-09,GBTC,43921988.27,1448849422.93,MOCK
2025-10-09,BITB,-28566074.89,2003710131.33,MOCK
2025-10-09,ARKB,102561400.51,3936021660.26,MOCK
2025-10-10,IBIT,-42324898.18,1071125203.48,MOCK
2025-10-10,FBTC,88923717.61,3227468081.03,MOCK
2025-10-10,GBTC,-19633800.51,4400114395.3,MOCK
2025-10-10,BITB,112256310.32,4679560727.27,MOCK
2025-10-10,ARKB,-31862053.44,4768959303.48,MOCK
2025-10-11,IBIT,10147082.35,3983672425.21,MOCK
2025-10-11,FBTC,27399076.82,963652534.63,MOCK
2025-10-11,GBTC,20283622.0,4861634587.07,MOCK
2025-10-11,BITB,-5911792.55,1924341423.4,MOCK
2025-10-11,ARKB,82406917.28,3795205907.67,MOCK
2025-10-12,IBIT,76621611.99,2107453518.29,MOCK
2025-10-12,FBTC,40542051.06,2180054112.43,MOCK
2025-10-12,GBTC,55330239.64,910882961.39,MOCK
2025-10-12,BITB,128172167.87,583020163.49,MOCK
2025-10-12,ARKB,126185807.25,4350756246.83,MOCK
2025-10-13,IBIT,46528554.49,1604099283.47,MOCK
2025-10-13,FBTC,-19328856.74,964679924.56,MOCK
2025-10-13,GBTC,71635250.76,3234056970.55,MOCK
2025-10-13,BITB,-23817931.4,3248549793.03,MOCK
2025-10-13,ARKB,5917934.9,2211342585.55,MOCK
2025-10-14,IBIT,59084880.19,3634396318.94,MOCK
2025-10-14,FBTC,84135979.6,3983375331.53,MOCK
2025-10-14,GBTC,-25318105.61,4996854331.27,MOCK
2025-10-14,BITB,74282549.04,1831154389.72,MOCK
2025-10-14,ARKB,134624937.2,1234281874.41,MOCK
2025-10-15,IBIT,3007612.94,3731540158.53,MOCK
2025-10-15,FBTC,-10016954.21,4746927625.53,MOCK
2025-10-15,GBTC,103101692.22,2763373185.21,MOCK
2025-10-15,BITB,73183551.07,610411886.55,MOCK
2025-10-15,ARKB,-1527350.62,1879523233.57,MOCK
2025-10-16,IBIT,148518287.93,2711010171.46,MOCK
2025-10-16,FBTC,46632671.62,854675473.12,MOCK
2025-10-16,GBTC,55862726.41,2243258752.77,MOCK
2025-10-16,BITB,-4758447.23,1395876504.22,MOCK
2025-10-16,ARKB,60108548.46,2715835985.83,MOCK
2025-10-17,IBIT,-39320736.54,3367538711.02,MOCK
2025-10-17,FBTC,130417815.72,3015236518.03,MOCK
2025-10-17,GBTC,138518654.31,3118313298.22,MOCK
2025-10-17,BITB,80897567.55,3247402661.26,MOCK
2025-10-17,ARKB,24055581.32,728150409.65,MOCK
2025-10-18,IBIT,-28156362.91,3498662765.37,MOCK
2025-10-18,FBTC,-40853690.46,1651580124.29,MOCK
2025-10-18,GBTC,-22450078.53,2911034187.17,MOCK
2025-10-18,BITB,117171180.9,2678910165.89,MOCK
2025-10-18,ARKB,46411806.75,579284225.81,MOCK
2025-10-19,IBIT,121798438.02,3100753918.53,MOCK
2025-10-19,FBTC,147253565.68,4580365928.76,MOCK
2025-10-19,GBTC,21617324.91,3870005085.29,MOCK
2025-10-19,BITB,-32128945.05,2648847487.16,MOCK
2025-10-19,ARKB,111373383.2,4467912526.5,MOCK
2025-10-20,IBIT,-31696997.2,951166271.88,MOCK
2025-10-20,FBTC,-19910701.49,4485706175.8,MOCK
2025-10-20,GBTC,100038445.06,1003911062.93,MOCK
2025-10-20,BITB,135953233.22,2666352916.41,MOCK
2025-10-20,ARKB,14913175.0,2774265721.74,MOCK
2025-10-21,IBIT,82917303.73,3991919951.94,MOCK
2025-10-21,FBTC,69063350.45,3231078604.94,MOCK
2025-10-21,GBTC,-21593660.9,1260961633.33,MOCK
2025-10-21,BITB,104902289.4,4509793884.86,MOCK
2025-10-21,ARKB,-32189690.72,3261775313.09,MOCK
2025-10-22,IBIT,132583367.07,2446718385.05,MOCK
2025-10-22,FBTC,132446953.0,692568494.32,MOCK
2025-10-22,GBTC,76445383.34,1649589946.52,MOCK
2025-10-22,BITB,-18032017.99,3476790262.64,MOCK
2025-10-22,ARKB,-12355864.53,4542690949.17,MOCK
2025-10-23,IBIT,91553394.27,4045411903.71,MOCK
2025-10-23,FBTC,35815999.75,1144297867.76,MOCK
2025-10-23,GBTC,35709322.08,4887994967.9,MOCK
2025-10-23,BITB,76262405.12,2423847882.38,MOCK
2025-10-23,ARKB,129295934.71,2586460825.31,MOCK
2025-10-24,IBIT,124076453.45,665414276.95,MOCK
2025-10-24,FBTC,63800852.56,3919933840.66,MOCK
2025-10-24,GBTC,16780742.54,3161710166.82,MOCK
2025-10-24,BITB,-18238469.24,683282977.92,MOCK
2025-10-24,ARKB,-20085563.74,4409269320.72,MOCK
2025-10-25,IBIT,14580270.08,1722735937.6,MOCK
2025-10-25,FBTC,5048858.8,4793831461.15,MOCK
2025-10-25,GBTC,27091159.55,1221627553.6,MOCK
2025-10-25,BITB,-49231537.98,3486991472.54,MOCK
2025-10-25,ARKB,-44285837.56,1999831566.35,MOCK
2025-10-26,IBIT,140074656.83,2973766094.47,MOCK
2025-10-26,FBTC,-25575053.97,2297935983.67,MOCK
2025-10-26,GBTC,121007999.24,4924638049.48,MOCK
2025-10-26,BITB,-32166965.13,2676012450.15,MOCK
2025-10-26,ARKB,25187379.9,4810527734.76,MOCK
2025-10-27,IBIT,49932064.79,4897519052.5,MOCK
2025-10-27,FBTC,-659700.13,4488381317.83,MOCK
